Measured X30cm	
0.13125	70.054464
0.63125	70.054464
1.03125	70.054464
1.63125	70.054464
1.93125	70.054464
2.43125	70.054464
2.83125	70.054464
3.13125	70.054464
3.63125	70.054464
3.93125	70.054464
4.33125	69.87711093
4.63125	69.87711093
4.93125	69.87711093
5.43125	69.87711093
5.73125	69.87711093
6.13125	69.87711093
6.43125	69.87711093
6.93125	69.87711093
7.23125	69.87711093
7.53125	69.87711093
7.93125	69.87711093
8.23125	69.87711093
8.73125	69.69975785
9.23125	69.69975785
9.53125	69.69975785
9.83125	69.69975785
10.33125	69.69975785
10.73125	69.52240478
11.03125	69.52240478
11.33125	69.52240478
11.83125	69.52240478
12.13125	69.52240478
12.53125	69.52240478
12.93125	69.52240478
13.23125	69.52240478
13.53125	69.52240478
13.83125	69.52240478
14.13125	69.34505171
14.63125	69.34505171
15.13125	69.16769863
15.43125	69.16769863
15.83125	69.16769863
16.13125	69.16769863
16.63125	69.16769863
16.93125	69.16769863
17.23125	69.16769863
17.73125	69.16769863
18.13125	69.16769863
18.43125	69.16769863
18.93125	69.16769863
19.23125	68.99034556
19.63125	68.99034556
20.13125	68.81299249
20.43125	68.81299249
20.73125	68.81299249
21.03125	68.81299249
21.43125	68.81299249
21.73125	68.81299249
22.03125	68.63563941
22.63125	68.63563941
23.03125	68.63563941
23.33125	68.45828634
23.73125	68.45828634
24.03125	68.45828634
24.33125	68.45828634
24.83125	68.45828634
25.13125	68.45828634
25.63125	68.28093327
26.03125	68.28093327
26.33125	68.28093327
26.63125	68.10358019
27.13125	68.10358019
27.43125	68.10358019
27.93125	67.92622712
28.43125	67.74887405
28.93125	67.74887405
29.43125	67.74887405
29.73125	67.74887405
30.13125	67.57152097
30.43125	67.57152097
30.93125	67.57152097
31.23125	67.57152097
31.73125	67.3941679
32.03125	67.3941679
32.53125	67.21681483
33.03125	67.21681483
33.43125	67.03946175
33.73125	67.03946175
34.03125	67.03946175
34.33125	66.86210868
34.73125	66.86210868
35.03125	66.86210868
35.33125	66.86210868
35.83125	66.68475561
36.23125	66.68475561
36.53125	66.50740253
36.93125	66.50740253
37.33125	66.50740253
37.63125	66.33004946
38.13125	66.33004946
38.63125	66.33004946
39.23125	66.15269638
39.63125	66.15269638
40.13125	65.97534331
40.73125	65.97534331
41.13125	65.79799024
41.43125	65.79799024
41.73125	65.79799024
42.23125	65.62063716
42.53125	65.62063716
42.93125	65.62063716
43.23125	65.62063716
43.73125	65.44328409
44.03125	65.44328409
44.43125	65.26593102
44.83125	65.26593102
45.23125	65.26593102
45.53125	65.08857794
46.03125	65.08857794
46.53125	64.91122487
47.03125	64.91122487
47.33125	64.91122487
47.73125	64.7338718
48.13125	64.7338718
48.53125	64.55651872
48.83125	64.55651872
49.33125	64.37916565
49.63125	64.37916565
49.93125	64.37916565
50.33125	64.37916565
50.63125	64.20181258
51.03125	64.20181258
51.43125	64.0244595
51.93125	64.0244595
52.33125	63.84710643
52.63125	63.84710643
52.93125	63.84710643
53.43125	63.66975336
53.73125	63.66975336
54.13125	63.66975336
54.43125	63.49240028
54.93125	63.49240028
55.23125	63.31504721
55.63125	63.31504721
55.93125	63.13769414
56.23125	63.13769414
56.83125	62.96034106
57.23125	62.96034106
57.73125	62.78298799
58.33125	62.78298799
58.73125	62.78298799
59.03125	62.60563492
59.33125	62.60563492
59.83125	62.42828184
60.33125	62.42828184
60.83125	62.25092877
61.33125	62.25092877
61.63125	62.0735757
62.13125	62.0735757
62.43125	61.89622262
62.83125	61.89622262
63.13125	61.89622262
63.63125	61.71886955
63.93125	61.71886955
64.33125	61.54151648
64.63125	61.54151648
64.93125	61.54151648
65.33125	61.3641634
65.63125	61.3641634
65.93125	61.18681033
66.53125	61.00945726
66.93125	61.00945726
67.23125	61.00945726
67.73125	60.83210418
68.03125	60.83210418
68.43125	60.65475111
68.73125	60.65475111
69.03125	60.65475111
69.43125	60.65475111
69.73125	60.47739804
70.23125	60.47739804
70.53125	60.30004496
71.03125	60.30004496
71.33125	60.12269189
71.73125	60.12269189
72.13125	60.12269189
72.53125	59.94533882
72.83125	59.94533882
73.33125	59.76798574
73.63125	59.76798574
74.03125	59.76798574
74.43125	59.59063267
74.83125	59.59063267
75.43125	59.41327959
75.83125	59.23592652
76.23125	59.23592652
76.63125	59.23592652
76.93125	59.05857345
77.43125	59.05857345
77.73125	59.05857345
78.13125	59.05857345
78.53125	59.05857345
79.03125	58.88122037
79.43125	58.88122037
79.73125	58.88122037
80.23125	58.7038673
80.73125	58.52651423
81.03125	58.52651423
81.43125	58.34916115
81.83125	58.34916115
82.23125	58.17180808
82.53125	58.17180808
83.03125	57.99445501
83.33125	57.99445501
83.83125	57.99445501
84.13125	57.81710193
84.53125	57.81710193
84.83125	57.81710193
85.13125	57.63974886
85.63125	57.63974886
86.13125	57.46239579
86.63125	57.28504271
87.13125	57.28504271
87.43125	57.10768964
87.83125	57.10768964
88.13125	56.93033657
88.73125	56.93033657
89.13125	56.75298349
89.43125	56.75298349
89.73125	56.75298349
90.13125	56.57563042
90.43125	56.57563042
90.93125	56.57563042
91.23125	56.39827735
91.53125	56.39827735
91.93125	56.39827735
92.23125	56.22092427
92.63125	56.22092427
93.03125	56.0435712
93.53125	56.0435712
93.83125	56.0435712
94.23125	55.86621813
94.53125	55.86621813
95.03125	55.68886505
95.53125	55.51151198
96.13125	55.33415891
96.53125	55.33415891
96.83125	55.15680583
97.33125	55.15680583
97.83125	55.15680583
98.43125	54.97945276
98.83125	54.80209969
99.13125	54.80209969
99.43125	54.80209969
99.93125	54.62474661
100.33125	54.62474661
100.63125	54.44739354
100.93125	54.44739354
101.43125	54.44739354
101.93125	54.27004047
102.43125	54.27004047
103.03125	54.09268739
103.43125	53.91533432
103.73125	53.91533432
104.03125	53.91533432
104.33125	53.73798125
104.73125	53.73798125
105.23125	53.56062817
105.53125	53.3832751
105.83125	53.3832751
106.33125	53.3832751
106.73125	53.20592203
107.03125	53.20592203
107.33125	53.20592203
107.83125	53.20592203
108.33125	53.02856895
108.83125	52.85121588
109.33125	52.85121588
109.63125	52.67386281
110.03125	52.49650973
110.33125	52.49650973
110.63125	52.49650973
111.13125	52.31915666
111.43125	52.31915666
111.83125	52.14180358
112.13125	52.14180358
112.63125	51.96445051
112.93125	51.96445051
113.33125	51.96445051
113.73125	51.78709744
114.23125	51.78709744
114.73125	51.60974436
115.23125	51.60974436
115.73125	51.43239129
116.23125	51.43239129
116.73125	51.25503822
117.03125	51.25503822
117.43125	51.07768514
117.73125	50.90033207
118.03125	50.90033207
118.53125	50.722979
119.03125	50.54562592
119.33125	50.54562592
119.73125	50.36827285
120.03125	50.36827285
120.53125	50.36827285
120.83125	50.36827285
121.13125	50.19091978
121.53125	50.19091978
121.83125	50.0135667
122.33125	50.0135667
122.63125	49.83621363
123.13125	49.83621363
123.43125	49.83621363
123.93125	49.65886056
124.33125	49.48150748
124.63125	49.48150748
124.93125	49.48150748
125.43125	49.30415441
125.73125	49.30415441
126.13125	49.12680134
126.43125	49.12680134
126.73125	49.12680134
127.13125	48.94944826
127.43125	48.94944826
127.93125	48.77209519
128.23125	48.77209519
128.73125	48.59474212
129.13125	48.59474212
129.43125	48.41738904
129.73125	48.41738904
130.23125	48.24003597
130.53125	48.24003597
131.03125	48.0626829
131.33125	48.0626829
131.73125	47.88532982
132.03125	47.88532982
132.53125	47.70797675
132.83125	47.70797675
133.13125	47.70797675
133.53125	47.53062368
133.83125	47.53062368
134.23125	47.3532706
134.53125	47.3532706
134.83125	47.3532706
135.13125	47.17591753
135.63125	47.17591753
136.13125	47.17591753
136.63125	46.99856446
136.93125	46.99856446
137.33125	46.82121138
137.73125	46.82121138
138.23125	46.64385831
138.63125	46.64385831
138.93125	46.64385831
139.43125	46.46650524
139.73125	46.28915216
140.03125	46.28915216
140.43125	46.11179909
140.73125	46.11179909
141.03125	45.93444602
141.53125	45.93444602
141.93125	45.75709294
142.23125	45.75709294
142.53125	45.57973987
142.83125	45.57973987
143.23125	45.57973987
143.53125	45.40238679
144.03125	45.40238679
144.33125	45.22503372
144.83125	45.04768065
145.23125	45.04768065
145.63125	44.87032757
146.03125	44.6929745
146.33125	44.6929745
146.63125	44.6929745
147.13125	44.51562143
147.43125	44.51562143
147.93125	44.33826835
148.23125	44.16091528
148.53125	44.16091528
148.83125	43.98356221
149.13125	43.98356221
149.43125	43.80620913
149.93125	43.62885606
150.43125	43.45150299
150.93125	43.27414991
151.23125	43.27414991
151.63125	43.09679684
151.93125	43.09679684
152.23125	43.09679684
152.73125	42.91944377
153.23125	42.74209069
153.73125	42.56473762
154.23125	42.38738455
154.53125	42.21003147
155.03125	42.0326784
155.33125	41.85532533
155.83125	41.67797225
156.23125	41.50061918
156.53125	41.32326611
157.03125	41.14591303
157.33125	40.96855996
157.63125	40.79120689
158.03125	40.61385381
158.53125	40.25914767
158.83125	40.08179459
159.13125	39.72708845
159.53125	39.19502923
159.83125	38.84032308
160.13125	38.48561693
160.43125	37.95355771
160.73125	37.24414542
161.03125	36.53473312
161.33125	35.82532083
161.63125	35.11590854
161.93125	34.0517901
162.43125	32.45561244
162.93125	30.6820817
163.23125	29.61796326
163.63125	28.0217856
163.93125	26.78031409
164.23125	25.53884257
164.73125	23.58795876
165.03125	22.34648725
165.53125	20.39560344
165.93125	18.97677886
166.23125	17.91266042
166.63125	16.49383583
167.03125	15.25236431
167.33125	14.36559895
167.83125	13.12412743
168.33125	12.06000899
168.83125	11.17324363
169.33125	10.28647826
169.83125	9.577065965
170.33125	9.045006744
170.63125	8.867653671
171.03125	8.512947524
171.33125	8.335594451
171.93125	8.158241377
172.23125	7.980888304
172.63125	7.80353523
172.93125	7.626182157
173.43125	7.626182157
173.83125	7.448829084
174.13125	7.27147601
174.43125	7.27147601
174.73125	7.27147601
175.23125	7.094122937
175.63125	6.916769863
175.93125	6.916769863
176.23125	6.73941679
176.73125	6.73941679
177.23125	6.562063716
177.73125	6.562063716
178.03125	6.562063716
178.43125	6.384710643
178.73125	6.384710643
179.03125	6.20735757
179.33125	6.20735757
179.83125	6.20735757
180.23125	6.030004496
180.53125	6.030004496
180.83125	6.030004496
181.13125	5.852651423
181.53125	5.852651423
181.83125	5.852651423
182.43125	5.675298349
182.83125	5.675298349
183.13125	5.675298349
183.43125	5.675298349
183.83125	5.675298349
184.13125	5.497945276
184.63125	5.497945276
184.93125	5.497945276
185.43125	5.320592203
185.83125	5.320592203
186.13125	5.320592203
186.43125	5.143239129
186.93125	5.143239129
187.23125	5.143239129
187.73125	5.143239129
188.23125	4.965886056
188.63125	4.965886056
189.03125	4.965886056
189.53125	4.788532982
189.93125	4.788532982
190.43125	4.788532982
191.03125	4.611179909
191.33125	4.611179909
191.73125	4.611179909
192.03125	4.611179909
192.33125	4.611179909
192.83125	4.433826835
193.23125	4.433826835
193.83125	4.433826835
194.33125	4.433826835
194.83125	4.433826835
195.33125	4.256473762
195.83125	4.256473762
196.13125	4.256473762
196.63125	4.079120689
196.93125	4.079120689
197.33125	4.079120689
197.63125	4.079120689
198.13125	4.079120689
198.43125	4.079120689
198.83125	3.901767615
199.23125	3.901767615
199.73125	3.901767615
200.23125	3.901767615
200.73125	3.724414542
201.23125	3.724414542
201.53125	3.724414542
201.93125	3.724414542
202.23125	3.724414542
202.53125	3.724414542
203.03125	3.547061468
203.53125	3.547061468
204.03125	3.547061468
204.33125	3.547061468
204.83125	3.369708395
205.23125	3.369708395
205.53125	3.369708395
205.83125	3.369708395
206.33125	3.369708395
206.63125	3.369708395
207.13125	3.369708395
207.43125	3.369708395
207.83125	3.369708395
208.13125	3.369708395
208.53125	3.192355322
208.63125	3.192355322
